item,ABC_group,XYZ_group
sku4431,A,Z
sku16854,A,X
sku11685,A,X
sku29330,A,X
sku446,A,X
sku8669,A,Z
sku14487,A,Z
sku6126,A,X
sku26356,A,Z
sku7558,A,Z
sku28341,A,X
sku25014,A,Y
sku1075,A,X
sku26506,A,Z
sku26195,A,X
sku15740,A,Z
sku27746,A,Z
sku1354,A,Z
sku8516,A,Z
sku19977,A,X
sku9979,A,X
sku4962,A,X
sku19873,A,Z
sku5837,A,Z
sku1632,A,Z
sku22235,A,Z
sku3778,A,Z
sku27294,A,X
sku29740,A,Z
sku26908,A,Z
sku21850,A,Z
sku25416,A,Z
sku16572,A,Z
sku14541,A,Y
sku2380,A,Z
sku20584,A,Z
sku29907,A,Z
sku1671,A,Z
sku13644,A,Z
sku28017,A,Z
sku19387,A,X
sku22984,A,X
sku17207,A,Z
sku8347,A,Y
sku2822,A,Z
sku6888,A,X
sku18681,A,X
sku15208,A,X
sku25211,A,Z
sku7123,A,X
sku4831,A,Z
sku3172,A,Z
sku26898,A,Y
sku12529,A,Z
sku11362,A,X
sku534,A,Z
sku24662,A,Z
sku103,A,Z
sku16069,A,Z
sku14105,A,X
sku7759,A,X
sku629,A,Z
sku4158,A,Z
sku20710,A,Z
sku28932,A,Z
sku22924,A,X
sku14511,A,Z
sku29886,A,Z
sku19474,A,X
sku27140,A,Z
sku26359,A,Y
sku90,A,X
sku18565,A,X
sku28945,A,Z
sku15225,A,X
sku9815,A,Z
sku24407,A,X
sku18634,A,X
sku4307,A,X
sku12667,A,Z
sku23915,A,Z
sku11814,A,X
sku757,A,Z
sku805,A,Z
sku19221,A,Z
sku1918,A,X
sku4477,A,Z
sku8487,A,Z
sku12812,A,Z
sku13977,A,Z
sku20336,A,Z
sku6309,A,Z
sku736,A,Z
sku14428,A,Z
sku27084,A,Z
sku9855,A,Z
sku10101,A,Z
sku22272,A,Z
sku17428,A,X
sku24718,A,Z
sku10860,A,Z
sku25172,A,Z
sku5902,A,Z
sku6711,A,Z
sku671,A,Z
sku27459,A,X
sku25562,A,Z
sku8199,A,Z
sku9929,A,Z
sku29904,A,X
sku20400,A,Z
sku6765,A,Z
sku12515,A,Z
sku11103,A,Z
sku20037,A,Z
sku5813,A,Z
sku10255,A,Z
sku24921,A,X
sku13794,A,Z
sku21151,A,Z
sku4369,A,Z
sku20441,A,Z
sku25193,A,Z
sku7752,A,Z
sku15232,A,X
sku18325,A,X
sku7339,A,Y
sku14276,A,Z
sku29599,A,Z
sku11210,A,Z
sku22331,A,Y
sku25389,A,Z
sku12651,A,Z
sku25728,A,Z
sku13470,A,Z
sku9683,A,Z
sku11167,A,X
sku20297,A,Z
sku18219,A,X
sku29029,A,X
sku21463,A,Z
sku4050,A,Y
sku15525,A,Z
sku28462,A,X
sku2609,A,Z
sku742,A,X
sku19489,A,Z
sku14920,A,Z
sku1215,A,X
sku15333,A,Z
sku6855,A,Z
sku5755,A,X
sku17704,A,Z
sku20603,A,Z
sku20932,A,Z
sku8470,A,Z
sku18128,A,Z
sku25845,A,Z
sku18422,A,Z
sku8587,A,Z
sku11308,A,Y
sku11811,A,Z
sku21257,A,X
sku26702,A,X
sku6646,A,Z
sku13149,A,Z
sku28467,A,X
sku29612,A,Z
sku8167,A,Z
sku12614,A,Z
sku8082,A,Z
sku25971,A,X
sku18378,A,Z
sku1051,A,Z
sku901,A,X
sku22981,A,Z
sku300,A,X
sku11368,A,Z
sku12879,A,X
sku7086,A,Z
sku21526,A,Z
sku28850,A,Z
sku9771,A,Y
sku1467,A,Z
sku3836,A,Z
sku17319,A,Z
sku15933,A,Y
sku18437,A,Z
sku18633,A,X
sku5348,A,Y
sku2504,A,X
sku28981,A,Z
sku14496,A,Z
sku27699,A,Z
sku458,A,Z
sku22350,A,X
sku444,A,Z
sku15975,A,Z
sku21014,A,Z
sku3358,A,X
sku18895,A,Z
sku23330,A,Y
